level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
5	1	13	0	0	0	46.50	188.34	46.44	9.00	100	00000-00399
4	1	13	0	1	0	46.500000	195.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	1	0	46.50	195.84	46.44	9.00	100	00400-00599
4	1	13	0	2	0	46.500000	203.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	2	0	46.50	203.34	46.44	9.00	100	01000-01399
4	1	13	0	3	0	46.500000	210.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	3	0	46.50	210.84	46.44	9.00	100	01400-01499
4	1	13	0	4	0	46.500000	218.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	4	0	46.50	218.34	46.44	9.00	100	01500-01699
4	1	13	0	5	0	46.500000	225.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	5	0	46.50	225.84	46.44	9.00	100	01700-04299
4	1	13	0	6	0	46.500000	237.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	6	0	46.50	237.34	46.44	9.00	100	04300-04499
4	1	13	0	7	0	46.500000	244.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	7	0	46.50	244.84	46.44	9.00	100	04500-04599
4	1	13	0	8	0	46.500000	252.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	8	0	46.50	252.34	46.44	9.00	100	04600-04999
4	1	13	0	9	0	46.500000	259.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	9	0	46.50	259.84	46.44	9.00	100	05000-05199
4	1	13	0	10	0	46.500000	267.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	10	0	46.50	267.34	46.44	9.00	100	05200-05399
4	1	13	0	11	0	46.500000	274.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	11	0	46.50	274.84	46.44	9.00	100	05400-05999
4	1	13	0	12	0	46.500000	286.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	12	0	46.50	286.34	46.44	9.00	100	06000-12799
4	1	13	0	13	0	46.500000	293.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	13	0	46.50	293.84	46.44	9.00	100	12800-13699
4	1	13	0	14	0	46.500000	301.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	14	0	46.50	301.34	46.44	9.00	100	13700-13999
4	1	13	0	15	0	46.500000	308.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	15	0	46.50	308.84	46.44	9.00	100	14000-14799
4	1	13	0	16	0	46.500000	316.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	16	0	46.50	316.34	46.44	9.00	100	14800-14999
4	1	13	0	17	0	46.500000	323.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	17	0	46.50	323.84	46.44	9.00	100	15000-15399
4	1	13	0	18	0	46.500000	335.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	18	0	46.50	335.34	46.44	9.00	100	15400-16399
4	1	13	0	19	0	46.500000	342.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	19	0	46.50	342.84	46.44	9.00	100	16400-16599
4	1	13	0	20	0	46.500000	350.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	20	0	46.50	350.34	46.44	9.00	100	16600-16999
4	1	13	0	21	0	46.500000	357.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	21	0	46.50	357.84	46.44	9.00	100	17000-19999
4	1	13	0	22	0	46.500000	365.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	22	0	46.50	365.34	46.44	9.00	100	20000-20999
4	1	13	0	23	0	46.500000	372.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	23	0	46.50	372.84	46.44	9.00	100	21000-21399
4	1	13	0	24	0	46.500000	384.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	24	0	46.50	384.34	46.44	9.00	100	21400-21899
4	1	13	0	25	0	46.500000	391.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	25	0	46.50	391.84	46.44	9.00	100	21900-21999
4	1	13	0	26	0	46.500000	399.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	26	0	46.50	399.34	46.44	9.00	100	22000-23899
4	1	13	0	27	0	46.500000	406.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	27	0	46.50	406.84	46.44	9.00	100	23900-24399
4	1	13	0	28	0	46.500000	414.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	28	0	46.50	414.34	46.44	9.00	100	24400-24499
4	1	13	0	29	0	46.500000	421.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	29	0	46.50	421.84	46.44	9.00	100	24500-25399
4	1	13	0	30	0	46.500000	433.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	30	0	46.50	433.34	46.44	9.00	100	25400-25499
4	1	13	0	31	0	46.500000	440.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	31	0	46.50	440.84	46.44	9.00	100	25500-26499
4	1	13	0	32	0	46.500000	448.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	32	0	46.50	448.34	46.44	9.00	100	26500-26599
4	1	13	0	33	0	46.500000	455.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	33	0	46.50	455.84	46.44	9.00	100	26600-26699
4	1	13	0	34	0	46.500000	463.340000	46.440000	9.000000	-1	###LINE###
5	1	13	0	34	0	46.50	463.34	46.44	9.00	100	26700-26899
4	1	13	0	35	0	46.500000	470.840000	46.440000	9.000000	-1	###LINE###
5	1	13	0	35	0	46.50	470.84	46.44	9.00	100	26900-26999
3	1	14	0	0	0	102.500000	188.340000	10.125000	291.500000	-1	###FLOW###
4	1	14	0	0	0	102.500000	188.340000	10.125000	9.000000	-1	###LINE###
5	1	14	0	0	0	102.50	188.34	10.13	9.00	100	NA
4	1	14	0	1	0	102.500000	195.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	1	0	102.50	195.84	4.36	9.00	100	2
4	1	14	0	2	0	102.500000	203.340000	4.356000	9.000000	-1	###LINE###
5	1	14	0	2	0	102.50	203.34	4.36	9.00	100	2
4	1	14	0	3	0	102.500000	210.840000	4.356000	9.000000	-1	###LINE###
5	1	14	0	3	0	102.50	210.84	4.36	9.00	100	3
